Date,Time,Timestamp_ms,Kite_ID,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg,Dive_Conf,AWW_Conf,AF_Conf
2026-03-26,10:58:45,0,1,0.0000,-0.0624,0.1039,3.0561,3.6357,0,1.0000,0,0,30.2332,-4.4600,37.7918,8.6858,-151.0719,0.000,0.000,0.538
2026-03-26,10:58:45,2,1,0.0000,-0.0395,0.1085,3.1901,3.6359,0,1.0000,0,0,30.1823,-3.4180,37.8474,5.8249,-152.1229,0.000,0.000,0.568
2026-03-26,10:58:45,3,1,0.0000,-0.0371,0.1145,3.3677,3.6363,0,1.0000,0,0,30.0041,-4.3272,37.8367,3.2378,-153.2412,0.000,0.000,0.598
2026-03-26,10:58:45,4,1,0.0000,0.0175,0.1138,3.3479,3.6364,0,1.0000,0,0,30.0711,1.2868,37.6293,-1.0790,-154.6263,0.000,0.000,0.638
2026-03-26,10:58:45,5,1,0.0000,0.0054,0.1119,3.2898,3.6362,0,1.0000,0,0,30.1748,1.5715,37.4487,-2.2836,-155.7290,0.000,0.000,0.678
2026-03-26,10:58:45,5,1,0.0000,-0.0121,0.1139,3.3493,3.6363,0,1.0000,0,0,30.1864,0.9100,37.2569,-3.6710,-156.7838,0.000,0.000,0.708
2026-03-26,10:58:45,6,1,0.0000,-0.0158,0.1161,3.4145,3.6364,0,1.0000,0,0,30.2142,0.9400,37.1280,-3.5715,-157.4655,0.000,0.000,0.738
2026-03-26,10:58:45,6,1,0.0000,0.0057,0.1138,3.3470,3.6363,0,1.0000,0,0,30.1699,-1.6056,37.1473,-1.7908,-158.4241,0.000,0.000,0.778
2026-03-26,10:58:45,7,1,0.0000,-0.0320,0.1178,3.4634,3.6364,0,1.0000,0,0,29.9351,-3.7413,37.1263,-0.8653,-159.4836,0.000,0.000,0.818
2026-03-26,10:58:45,7,1,0.0000,0.0030,0.1173,3.4488,3.6366,0,1.0000,0,0,29.9608,-0.4547,37.2000,0.3367,-160.1665,0.000,0.000,0.848
2026-03-26,10:58:45,8,1,0.0000,0.0190,0.1143,3.3623,3.6365,0,1.0000,0,0,29.9763,-0.2457,37.2264,0.3927,-161.0268,0.000,0.000,0.878
2026-03-26,10:58:45,9,1,0.0000,0.0058,0.1136,3.3423,3.6364,0,1.0000,0,0,29.8711,-2.0985,37.1109,-1.0667,-161.8071,0.000,0.000,0.908
2026-03-26,10:58:45,10,1,0.0000,0.0477,0.1087,3.1961,3.6362,0,1.0000,0,0,29.7548,-3.0902,36.9204,-3.0218,-162.4749,0.000,0.000,0.938
2026-03-26,10:58:45,10,1,0.0000,0.1016,0.0958,2.8190,3.6356,0,1.0000,0,0,29.7412,-1.2930,36.8866,-1.8731,-162.8802,0.000,0.000,0.968
2026-03-26,10:58:45,11,1,0.0000,0.0177,0.0931,2.7373,3.6353,0,1.0000,0,0,29.7523,-0.2897,36.8979,-0.9637,-163.3934,0.000,0.000,0.998
2026-03-26,10:58:45,11,1,0.0000,0.0080,0.0940,2.7656,3.6353,0,1.0000,0,0,29.6217,-2.6349,36.8892,-0.4234,-163.7760,0.000,0.000,0.998
2026-03-26,10:58:45,12,1,0.0000,0.0177,0.0912,2.6835,3.6351,0,1.0000,0,0,29.4851,-3.0756,37.1277,3.5975,-164.0521,0.000,0.000,0.995
2026-03-26,10:58:45,12,1,0.0000,-0.0400,0.0982,2.8876,3.6354,0,1.0000,0,0,29.2911,-4.3229,37.2881,3.9902,-164.2751,0.000,0.000,0.992
2026-03-26,10:58:45,14,1,0.0000,-0.0036,0.0963,2.8321,3.6354,0,1.0000,0,0,29.3270,-0.9113,37.3715,3.0798,-164.7950,0.000,0.000,0.988
